date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal
2007-11-04,2008,Miami,vs,Charlotte,88,90,-160,140,186.5,-3.5,93.5
2007-11-04,2008,Phoenix,vs,Cleveland,103,92,-350,290,205,-7.5,99.5
2007-11-04,2008,New Orleans,@,Denver,93,88,185,-215,214.5,5,104.5
2007-11-04,2008,Atlanta,@,Detroit,91,92,290,-350,191,8,97
2007-11-04,2008,Seattle,@,LA Clippers,101,115,250,-300,208,6.5,101.5
2007-11-04,2008,Utah,@,LA Lakers,109,119,-105,-115,205.5,1,106
2007-11-04,2008,Charlotte,@,Miami,90,88,140,-160,186.5,3.5,93.5
2007-11-04,2008,New York,vs,Minnesota,97,93,-425,355,193,-9,96.5
2007-11-04,2008,Denver,vs,New Orleans,88,93,-215,185,214.5,-5,104.5
2007-11-04,2008,Minnesota,@,New York,93,97,355,-425,193,9,96.5
2007-11-04,2008,Cleveland,@,Phoenix,92,103,290,-350,205,7.5,99.5
2007-11-04,2008,LA Clippers,vs,Seattle,115,101,-300,250,208,-6.5,101.5
2007-11-04,2008,Boston,@,Toronto,98,95,105,-125,194,1.5,95.5
2007-11-04,2008,LA Lakers,vs,Utah,119,109,-115,-105,205.5,-1,106
2007-11-05,2008,Houston,@,Dallas,98,107,170,-200,189.5,4.5,95.5
2007-11-05,2008,Dallas,vs,Houston,107,98,-200,170,189.5,-4.5,95.5
2007-11-06,2008,New Jersey,vs,Atlanta,87,82,-190,160,188.5,-4,95
2007-11-06,2008,Phoenix,@,Charlotte,115,83,-195,165,207,-4,101
2007-11-06,2008,LA Clippers,@,Chicago,97,91,335,-405,193,8.5,97.5
2007-11-06,2008,Golden State,vs,Cleveland,104,108,-135,115,209.5,-2,105
2007-11-06,2008,New York,vs,Denver,119,112,140,-160,211,3,105
2007-11-06,2008,Cleveland,@,Golden State,108,104,115,-135,209.5,2,105
2007-11-06,2008,San Antonio,@,Houston,81,89,-135,115,183.5,-2,91.5
2007-11-06,2008,Chicago,vs,LA Clippers,91,97,-405,335,193,-8.5,97.5
2007-11-06,2008,New Orleans,@,LA Lakers,118,104,135,-155,205.5,3,104
2007-11-06,2008,Toronto,@,Milwaukee,85,112,-160,140,190,-3,95
2007-11-06,2008,Orlando,@,Minnesota,111,103,-300,250,186.5,-6.5,93.5
2007-11-06,2008,Atlanta,@,New Jersey,82,87,160,-190,188.5,4,95
2007-11-06,2008,LA Lakers,vs,New Orleans,104,118,-155,135,205.5,-3,104
2007-11-06,2008,Denver,@,New York,112,119,-160,140,211,-3,105
2007-11-06,2008,Minnesota,vs,Orlando,103,111,250,-300,186.5,6.5,93.5
2007-11-06,2008,Charlotte,vs,Phoenix,83,115,165,-195,207,4,101
2007-11-06,2008,Seattle,@,Sacramento,98,104,110,-130,208,2,101.5
2007-11-06,2008,Houston,vs,San Antonio,89,81,115,-135,183.5,2,91.5
2007-11-06,2008,Sacramento,vs,Seattle,104,98,-130,110,208,-2,101.5
2007-11-06,2008,Milwaukee,vs,Toronto,112,85,140,-160,190,3,95
2007-11-07,2008,Phoenix,@,Atlanta,96,105,-230,190,207,-5,103.5
2007-11-07,2008,Denver,@,Boston,93,119,245,-295,202.5,6.5,99.5
2007-11-07,2008,Philadelphia,vs,Charlotte,94,63,-195,165,189,-4,93.5
2007-11-07,2008,Utah,vs,Cleveland,103,101,-500,400,194.5,-9,98
2007-11-07,2008,Boston,vs,Denver,119,93,-295,245,202.5,-6.5,99.5
2007-11-07,2008,LA Clippers,@,Indiana,104,89,240,-290,207.5,6.5,102
2007-11-07,2008,Indiana,vs,LA Clippers,89,104,-290,240,207.5,-6.5,102
2007-11-07,2008,Seattle,vs,Memphis,98,105,-110,-110,218.5,0,107
2007-11-07,2008,San Antonio,vs,Miami,88,78,-1200,800,180.5,-11.5,88.5
2007-11-07,2008,Portland,vs,New Orleans,93,90,125,-145,201.5,2.5,100.5
2007-11-07,2008,Toronto,vs,Orlando,96,105,-200,170,191.5,-4,95.5
2007-11-07,2008,Charlotte,@,Philadelphia,63,94,165,-195,189,4,93.5
2007-11-07,2008,Atlanta,vs,Phoenix,105,96,190,-230,207,5,103.5
2007-11-07,2008,New Orleans,@,Portland,90,93,-145,125,201.5,-2.5,100.5
2007-11-07,2008,Miami,@,San Antonio,78,88,800,-1200,180.5,11.5,88.5
2007-11-07,2008,Memphis,@,Seattle,105,98,-110,-110,218.5,0,107
2007-11-07,2008,Orlando,@,Toronto,105,96,170,-200,191.5,4,95.5
2007-11-07,2008,Cleveland,@,Utah,101,103,400,-500,194.5,9,98
2007-11-08,2008,Detroit,@,Chicago,93,97,100,-120,182,1,90
2007-11-08,2008,Golden State,vs,Dallas,115,120,275,-325,216,7.5,108.5
2007-11-08,2008,Chicago,vs,Detroit,97,93,-120,100,182,-1,90
2007-11-08,2008,Dallas,@,Golden State,120,115,-325,275,216,-7.5,108.5
2007-11-08,2008,Washington,@,New Jersey,85,87,235,-275,190,6,98
2007-11-08,2008,New Jersey,vs,Washington,87,85,-275,235,190,-6,98
2007-11-09,2008,Boston,vs,Atlanta,106,83,-430,360,193,-8.5,97.5
2007-11-09,2008,Atlanta,@,Boston,83,106,360,-430,193,8.5,97.5
2007-11-09,2008,Indiana,@,Charlotte,87,96,105,-125,195,1.5,97
2007-11-09,2008,Sacramento,vs,Cleveland,91,93,205,-245,192.5,5.5,97
2007-11-09,2008,Washington,vs,Denver,92,118,110,-130,209.5,2,106.5
2007-11-09,2008,LA Clippers,@,Detroit,79,103,315,-375,191.5,8,94
2007-11-09,2008,Milwaukee,@,Houston,88,104,395,-475,188.5,9,94
2007-11-09,2008,Charlotte,vs,Indiana,96,87,-125,105,195,-1.5,97
2007-11-09,2008,Detroit,vs,LA Clippers,103,79,-375,315,191.5,-8,94
2007-11-09,2008,Minnesota,@,LA Lakers,93,107,600,-800,204,11,103
2007-11-09,2008,Portland,vs,Memphis,110,98,-140,120,208.5,-2.5,104.5
2007-11-09,2008,Phoenix,@,Miami,106,101,-375,315,195.5,-8,97.5
2007-11-09,2008,Houston,vs,Milwaukee,104,88,-475,395,188.5,-9,94
2007-11-09,2008,LA Lakers,vs,Minnesota,107,93,-800,600,204,-11,103
2007-11-09,2008,San Antonio,@,New Orleans,97,85,-165,145,186,-3.5,94
2007-11-09,2008,Orlando,@,New York,112,102,-105,-115,201.5,1,99.5
2007-11-09,2008,New York,vs,Orlando,102,112,-115,-105,201.5,-1,99.5
2007-11-09,2008,Toronto,@,Philadelphia,105,103,-130,110,187.5,-2,94.5
2007-11-09,2008,Miami,vs,Phoenix,101,106,315,-375,195.5,8,97.5
2007-11-09,2008,Memphis,@,Portland,98,110,120,-140,208.5,2.5,104.5
2007-11-09,2008,Cleveland,@,Sacramento,93,91,-245,205,192.5,-5.5,97
2007-11-09,2008,New Orleans,vs,San Antonio,85,97,145,-165,186,3.5,94
2007-11-09,2008,Utah,@,Seattle,103,101,-290,240,211.5,-6.5,106
2007-11-09,2008,Philadelphia,vs,Toronto,103,105,110,-130,187.5,2,94.5
2007-11-09,2008,Seattle,vs,Utah,101,103,240,-290,211.5,6.5,106
2007-11-09,2008,Denver,@,Washington,118,92,-130,110,209.5,-2,106.5
2007-11-10,2008,New Jersey,vs,Boston,101,112,130,-150,182.5,3,95
2007-11-10,2008,Toronto,@,Chicago,101,71,220,-260,189.5,6.5,93
2007-11-10,2008,Portland,vs,Dallas,91,82,290,-350,201.5,7.5,100
2007-11-10,2008,Indiana,vs,Denver,106,113,105,-125,212,1.5,103
2007-11-10,2008,Denver,@,Indiana,113,106,-125,105,212,-1.5,103
2007-11-10,2008,Utah,vs,Memphis,118,94,-600,475,216,-10,107.5
2007-11-10,2008,Sacramento,vs,Minnesota,100,93,-200,170,193,-4.5,93.5
2007-11-10,2008,Boston,@,New Jersey,112,101,-150,130,182.5,-3,95
2007-11-10,2008,Phoenix,@,Orlando,106,96,-125,105,209,-1.5,102.5
2007-11-10,2008,Orlando,vs,Phoenix,96,106,105,-125,209,1.5,102.5
2007-11-10,2008,Dallas,@,Portland,82,91,-350,290,201.5,-7.5,100
2007-11-10,2008,Minnesota,@,Sacramento,93,100,170,-200,193,4.5,93.5
2007-11-10,2008,Chicago,vs,Toronto,71,101,-260,220,189.5,-6.5,93
2007-11-10,2008,Memphis,@,Utah,94,118,475,-600,216,10,107.5
2007-11-11,2008,Washington,@,Atlanta,101,90,190,-230,192.5,5.5,100
2007-11-11,2008,Houston,@,Charlotte,85,82,-275,235,186,-6.5,94.5
2007-11-11,2008,LA Clippers,vs,Cleveland,95,103,-110,-110,192,0,95
2007-11-11,2008,Seattle,vs,Detroit,103,107,235,-275,196,6.5,96
2007-11-11,2008,Charlotte,vs,Houston,82,85,235,-275,186,6.5,94.5
2007-11-11,2008,Cleveland,@,LA Clippers,103,95,-110,-110,192,0,95
2007-11-11,2008,New York,vs,Miami,72,75,-150,130,192,-3,93.5
2007-11-11,2008,San Antonio,vs,Milwaukee,113,88,-700,550,186.5,-10.5,93.5
2007-11-11,2008,Philadelphia,vs,New Orleans,72,93,130,-150,190.5,3,95
2007-11-11,2008,Miami,@,New York,75,72,130,-150,192,3,93.5
2007-11-11,2008,New Orleans,@,Philadelphia,93,72,-150,130,190.5,-3,95
2007-11-11,2008,Milwaukee,@,San Antonio,88,113,550,-700,186.5,10.5,93.5
2007-11-11,2008,Detroit,@,Seattle,107,103,-275,235,196,-6.5,96
2007-11-11,2008,Atlanta,vs,Washington,90,101,-230,190,192.5,-5.5,100
2007-11-12,2008,Denver,vs,Cleveland,122,100,-335,285,208,-7.5,101.5
2007-11-12,2008,Cleveland,@,Denver,100,122,285,-335,208,7.5,101.5
2007-11-12,2008,New Orleans,@,New Jersey,84,82,-130,110,184.5,-2,92.5
2007-11-12,2008,New Jersey,vs,New Orleans,82,84,110,-130,184.5,2,92.5
2007-11-12,2008,Utah,vs,Sacramento,117,93,-1700,1050,206,-14,101
2007-11-12,2008,Sacramento,@,Utah,93,117,1050,-1700,206,14,101
2007-11-13,2008,Indiana,vs,Boston,86,101,250,-300,198,7,97.5
2007-11-13,2008,Miami,@,Charlotte,76,91,105,-125,178,1.5,88.5
2007-11-13,2008,Philadelphia,@,Dallas,84,99,600,-800,192.5,11,96.5
2007-11-13,2008,Portland,vs,Detroit,102,94,190,-230,190,5,94.5
2007-11-13,2008,Memphis,vs,Houston,105,99,230,-270,201.5,6.5,101
2007-11-13,2008,Boston,@,Indiana,101,86,-300,250,198,-7,97.5
2007-11-13,2008,San Antonio,vs,LA Lakers,107,92,-365,305,199,-8,98
2007-11-13,2008,Houston,@,Memphis,99,105,-270,230,201.5,-6.5,101
2007-11-13,2008,Charlotte,vs,Miami,91,76,-125,105,178,-1.5,88.5
2007-11-13,2008,Phoenix,vs,New York,113,102,-1400,900,210.5,-13,103
2007-11-13,2008,Seattle,@,Orlando,76,103,525,-650,209,10.5,99.5
2007-11-13,2008,Dallas,vs,Philadelphia,99,84,-800,600,192.5,-11,96.5
2007-11-13,2008,New York,@,Phoenix,102,113,900,-1400,210.5,13,103
2007-11-13,2008,Detroit,@,Portland,94,102,-230,190,190,-5,94.5
2007-11-13,2008,LA Lakers,@,San Antonio,92,107,305,-365,199,8,98
2007-11-13,2008,Orlando,vs,Seattle,103,76,-650,525,209,-10.5,99.5
2007-11-14,2008,Charlotte,@,Atlanta,109,117,200,-240,188,5.5,93.5
2007-11-14,2008,New Jersey,@,Boston,69,91,525,-650,181,10,93.5
2007-11-14,2008,Atlanta,vs,Charlotte,117,109,-240,200,188,-5.5,93.5
2007-11-14,2008,Orlando,@,Cleveland,117,116,130,-150,190.5,3,96.5
2007-11-14,2008,Portland,@,Denver,93,110,550,-700,212,11,105
2007-11-14,2008,Golden State,vs,Detroit,104,111,100,-120,211,1,100.5
2007-11-14,2008,Detroit,@,Golden State,111,104,-120,100,211,-1,100.5
2007-11-14,2008,LA Lakers,@,Houston,93,90,240,-290,199.5,6.5,100.5
2007-11-14,2008,Washington,vs,Indiana,103,90,-240,200,200.5,-5.5,99
2007-11-14,2008,New York,@,LA Clippers,81,84,275,-325,200.5,7.5,99
2007-11-14,2008,Houston,vs,LA Lakers,90,93,-290,240,199.5,-6.5,100.5
2007-11-14,2008,Milwaukee,vs,Memphis,102,99,-260,220,206.5,-6.5,101
2007-11-14,2008,Seattle,@,Miami,104,95,240,-290,191.5,7,92.5
2007-11-14,2008,Memphis,@,Milwaukee,99,102,220,-260,206.5,6.5,101
2007-11-14,2008,Sacramento,@,Minnesota,103,108,110,-130,190.5,2,96
2007-11-14,2008,Boston,vs,New Jersey,91,69,-650,525,181,-10,93.5
2007-11-14,2008,Philadelphia,@,New Orleans,76,95,370,-450,187.5,8.5,93
2007-11-14,2008,LA Clippers,vs,New York,84,81,-325,275,200.5,-7.5,99
2007-11-14,2008,Cleveland,vs,Orlando,116,117,-150,130,190.5,-3,96.5
2007-11-14,2008,New Orleans,vs,Philadelphia,95,76,-450,370,187.5,-8.5,93
2007-11-14,2008,Denver,vs,Portland,110,93,-700,550,212,-11,105
2007-11-14,2008,Minnesota,vs,Sacramento,108,103,-130,110,190.5,-2,96
2007-11-14,2008,Miami,vs,Seattle,95,104,-290,240,191.5,-7,92.5
2007-11-14,2008,Utah,@,Toronto,92,88,-110,-110,204,0,104.5
2007-11-14,2008,Toronto,vs,Utah,88,92,-110,-110,204,0,104.5
2007-11-14,2008,Indiana,@,Washington,90,103,200,-240,200.5,5.5,99
2007-11-15,2008,Phoenix,vs,Chicago,112,102,-425,355,204,-8.5,102
2007-11-15,2008,San Antonio,@,Dallas,92,105,105,-125,189.5,1.5,94
2007-11-15,2008,Chicago,@,Phoenix,102,112,355,-425,204,8.5,102
2007-11-15,2008,Dallas,vs,San Antonio,105,92,-125,105,189.5,-1.5,94
2007-11-16,2008,Seattle,@,Atlanta,126,123,235,-275,204.5,6,100.5
2007-11-16,2008,Miami,@,Boston,91,92,525,-650,183,10,93
2007-11-16,2008,Utah,@,Cleveland,94,99,105,-125,199.5,1.5,103
2007-11-16,2008,LA Lakers,vs,Detroit,103,91,-175,155,198.5,-4,98
2007-11-16,2008,LA Clippers,@,Golden State,105,122,210,-250,219.5,5.5,106
2007-11-16,2008,San Antonio,vs,Houston,90,84,-500,400,177.5,-9,90
2007-11-16,2008,Toronto,vs,Indiana,110,101,-335,285,195.5,-7.5,98.5
2007-11-16,2008,Golden State,vs,LA Clippers,122,105,-250,210,219.5,-5.5,106
2007-11-16,2008,Detroit,@,LA Lakers,91,103,155,-175,198.5,4,98
2007-11-16,2008,New Orleans,@,Memphis,120,118,-160,140,204.5,-3,99.5
2007-11-16,2008,Boston,vs,Miami,92,91,-650,525,183,-10,93
2007-11-16,2008,Washington,@,Minnesota,105,89,-170,150,191.5,-3.5,99.5
2007-11-16,2008,Orlando,@,New Jersey,95,70,-170,150,186,-3.5,94
2007-11-16,2008,Memphis,vs,New Orleans,118,120,140,-160,204.5,3,99.5
2007-11-16,2008,Sacramento,vs,New York,123,118,-170,150,198.5,-3.5,98.5
2007-11-16,2008,New Jersey,vs,Orlando,70,95,150,-170,186,3.5,94
2007-11-16,2008,Portland,@,Philadelphia,88,92,130,-150,184,3,93
2007-11-16,2008,Philadelphia,vs,Portland,92,88,-150,130,184,-3,93
2007-11-16,2008,New York,@,Sacramento,118,123,150,-170,198.5,3.5,98.5
2007-11-16,2008,Houston,@,San Antonio,84,90,400,-500,177.5,9,90
2007-11-16,2008,Atlanta,vs,Seattle,123,126,-275,235,204.5,-6,100.5
2007-11-16,2008,Indiana,@,Toronto,101,110,285,-335,195.5,7.5,98.5
2007-11-16,2008,Cleveland,vs,Utah,99,94,-125,105,199.5,-1.5,103
2007-11-16,2008,Minnesota,vs,Washington,89,105,150,-170,191.5,3.5,99.5
2007-11-17,2008,Milwaukee,vs,Atlanta,105,96,-335,285,196.5,-7.5,98.5
2007-11-17,2008,Seattle,@,Charlotte,84,100,300,-360,199.5,8,99
2007-11-17,2008,LA Clippers,vs,Chicago,73,92,140,-160,187,3,92.5
2007-11-17,2008,Memphis,@,Dallas,105,108,950,-1500,213,14,105
2007-11-17,2008,New York,@,Denver,83,115,850,-1300,213.5,14,102.5
2007-11-17,2008,Phoenix,@,Houston,115,105,-250,210,196,-5.5,98
2007-11-17,2008,Utah,@,Indiana,97,117,-230,190,204.5,-5,107
2007-11-17,2008,Chicago,@,LA Clippers,92,73,-160,140,187,-3,92.5
2007-11-17,2008,Dallas,vs,Memphis,108,105,-1500,950,213,-14,105
2007-11-17,2008,New Jersey,vs,Miami,87,91,135,-155,174,3,88
2007-11-17,2008,Atlanta,@,Milwaukee,96,105,285,-335,196.5,7.5,98.5
2007-11-17,2008,New Orleans,@,Minnesota,100,82,-190,160,188,-4,91
2007-11-17,2008,Miami,@,New Jersey,91,87,-155,135,174,-3,88
2007-11-17,2008,Minnesota,vs,New Orleans,82,100,160,-190,188,4,91
2007-11-17,2008,Denver,vs,New York,115,83,-1300,850,213.5,-14,102.5
2007-11-17,2008,Houston,vs,Phoenix,105,115,210,-250,196,5.5,98
2007-11-17,2008,Washington,vs,Portland,109,90,-205,175,190,-4.5,97.5
2007-11-17,2008,Charlotte,vs,Seattle,100,84,-360,300,199.5,-8,99
2007-11-17,2008,Indiana,vs,Utah,117,97,190,-230,204.5,5,107
2007-11-17,2008,Portland,@,Washington,90,109,175,-205,190,4.5,97.5
2007-11-18,2008,Orlando,vs,Boston,104,102,100,-120,187.5,1,94.5
2007-11-18,2008,LA Lakers,vs,Chicago,106,78,-230,190,198,-5.5,100.5
2007-11-18,2008,Sacramento,vs,Detroit,105,95,175,-205,195.5,4.5,97
2007-11-18,2008,Toronto,vs,Golden State,100,106,-260,220,219.5,-6.5,109
2007-11-18,2008,Chicago,@,LA Lakers,78,106,190,-230,198,5.5,100.5
2007-11-18,2008,Boston,@,Orlando,102,104,-120,100,187.5,-1,94.5
2007-11-18,2008,Detroit,@,Sacramento,95,105,-205,175,195.5,-4.5,97
2007-11-18,2008,Golden State,@,Toronto,106,100,220,-260,219.5,6.5,109
2007-11-19,2008,Portland,@,Charlotte,92,101,190,-230,190.5,5.5,97.5
2007-11-19,2008,Seattle,@,Memphis,108,125,195,-235,218.5,5.5,105.5
2007-11-19,2008,Utah,vs,New Jersey,102,75,-700,550,191,-11,99
2007-11-19,2008,Orlando,@,New Orleans,95,88,100,-120,186,1,92.5
2007-11-19,2008,New Orleans,vs,Orlando,88,95,-120,100,186,-1,92.5
2007-11-19,2008,Charlotte,vs,Portland,101,92,-230,190,190.5,-5.5,97.5
2007-11-19,2008,Memphis,vs,Seattle,125,108,-235,195,218.5,-5.5,105.5
2007-11-19,2008,New Jersey,@,Utah,75,102,550,-700,191,11,99
2007-11-20,2008,San Antonio,@,Atlanta,95,83,-250,210,190,-6,94.5
2007-11-20,2008,Denver,vs,Chicago,112,91,-450,370,201.5,-8.5,101
2007-11-20,2008,Milwaukee,@,Cleveland,111,107,240,-290,193.5,6.5,97
2007-11-20,2008,Toronto,@,Dallas,99,105,355,-425,197,8.5,97.5
2007-11-20,2008,Chicago,@,Denver,91,112,370,-450,201.5,8.5,101
2007-11-20,2008,New York,vs,Golden State,82,108,100,-120,220,1,104.5
2007-11-20,2008,LA Lakers,@,Indiana,134,114,-125,105,207.5,-1.5,102.5
2007-11-20,2008,Indiana,vs,LA Lakers,114,134,105,-125,207.5,1.5,102.5
2007-11-20,2008,Cleveland,vs,Milwaukee,107,111,-290,240,193.5,-6.5,97
2007-11-20,2008,Golden State,@,New York,108,82,-120,100,220,-1,104.5
2007-11-20,2008,Washington,vs,Philadelphia,116,101,-230,190,183.5,-5,93.5
2007-11-20,2008,Sacramento,vs,Phoenix,98,100,280,-330,218,7.5,106
2007-11-20,2008,Phoenix,@,Sacramento,100,98,-330,280,218,-7.5,106
2007-11-20,2008,Atlanta,vs,San Antonio,83,95,210,-250,190,6,94.5
2007-11-20,2008,Dallas,vs,Toronto,105,99,-425,355,197,-8.5,97.5
2007-11-20,2008,Philadelphia,@,Washington,101,116,190,-230,183.5,5,93.5
2007-11-21,2008,Miami,vs,Atlanta,79,82,-430,360,187.5,-8,93.5
2007-11-21,2008,Golden State,@,Boston,82,105,620,-820,214,11,103
2007-11-21,2008,Washington,@,Charlotte,114,111,250,-300,192.5,7,99.5
2007-11-21,2008,Minnesota,vs,Cleveland,86,97,190,-230,191.5,5,96.5
2007-11-21,2008,Houston,vs,Dallas,94,100,-140,120,190,-2.5,95
2007-11-21,2008,LA Clippers,vs,Denver,101,90,260,-310,204.5,6.5,98.5
2007-11-21,2008,New York,@,Detroit,86,98,600,-800,192.5,10.5,94.5
2007-11-21,2008,Boston,vs,Golden State,105,82,-820,620,214,-11,103
2007-11-21,2008,Dallas,@,Houston,100,94,120,-140,190,2.5,95
2007-11-21,2008,New Orleans,vs,Indiana,93,105,-325,275,199,-7.5,97
2007-11-21,2008,Denver,@,LA Clippers,90,101,-310,260,204.5,-6.5,98.5
2007-11-21,2008,Milwaukee,vs,LA Lakers,110,103,115,-135,208,2,103
2007-11-21,2008,Toronto,@,Memphis,95,89,155,-175,211.5,4,103.5
2007-11-21,2008,Atlanta,@,Miami,82,79,360,-430,187.5,8,93.5
2007-11-21,2008,LA Lakers,@,Milwaukee,103,110,-135,115,208,-2,103
2007-11-21,2008,Cleveland,@,Minnesota,97,86,-230,190,191.5,-5,96.5
2007-11-21,2008,Portland,vs,New Jersey,101,106,-155,135,183.5,-3,95.5
2007-11-21,2008,Indiana,@,New Orleans,105,93,275,-325,199,7.5,97
2007-11-21,2008,Detroit,vs,New York,98,86,-800,600,192.5,-10.5,94.5
2007-11-21,2008,San Antonio,vs,Orlando,128,110,-265,225,187.5,-6,94.5
2007-11-21,2008,Sacramento,@,Phoenix,111,127,1000,-1600,216,14,108
